id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,TWUO2Evg
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,pBpYxVTM
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,o4irDJNw
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,jfVGIE3W
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,KOxM3GFb
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,DloEYdZ3
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,uXrfxgrc
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,3jirvpGV
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,njR3vqvo
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,cov8MXbd
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,7xwAYYVF
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,sxTnoNXI
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,8vBOcXOL
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,ZppyNEzo
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,250fVWSE
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,VjrVqheJ
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,OkfIa2KR
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,pN9cAbgd
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,Xgzl0ITk
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,BrjqYcNc
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,tgzAQBar
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,N1dxJcmC
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,HgzCDMln
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,69PDaqT7
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,VqVlNkJh
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,TfeGwM5z
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,VI0B0Ksv
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,sm09gT2O
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,p5dC9bTK
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,31yndzGY
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,tbQAckvX
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,y9TJhFMC
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,yFPyl8IP
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,VfuBuxFg
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,PSot7SBZ
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,8WHfsbMf
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,XziJ3Rb7
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,77XRzRjN
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,ytmaILHG
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,xBNBGfIi
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,SXaH2nwm
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,iNuXH2MG
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,WiZ303ay
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,ItpotUAJ
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,mDBfIrWI
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,Y2Z0gi1y
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,S0W9jR6B
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,RjOcyRg9
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,0hpQm9Dx
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,Bu7krR8I
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,NQYJySxP
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,rzLDm914
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,FfOhw0SC
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,uZhSL1eX
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,HxsPVN3x
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,6EkdVQEl
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,NcZrsJtT
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,1Sw75RE3
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,OMzFKATQ
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,omRXhles
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,rjk1Ls3M
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,iJmbHcPj
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,CQDRW34D
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,AYcv7r1I
